M7	Mercury Grand Marquis
P02	Ford Fusion; SEL, AWD
X37	Ford F-Series, F-350, Super Cab, 4WD, CA XL, Dual Rear Wheels
M6	Mercury Mystique
P01	Ford Fusion; SE, AWD
M5	Mercury Sable
P07	Ford Fusion; SE, FWD
X36	Ford F-Series, F-350, Super Cab, 2WD, CA XL, Dual Rear Wheels
P06	Ford Fusion; S, FWD
X33	Ford F-Series, F-350, Super Cab, 4WD, Dual Rear Wheels
M9	Lincoln Continental
X31	Ford F-Series, F-350, Super Cab, 4WD, Single Rear Wheels
X32	Ford F-Series, F-350, Super Cab, 2WD, Dual Rear Wheels
X30	Ford F-Series, F-350, Super Cab, 2WD, Single Rear Wheels
P08	Ford Fusion; SEL, FWD
W65	Ford F-Series, F-650, Crew Cab, Straight Frame
P84	Mazda 6
F02	Ford F-Series, F-150, Regular Cab, Flareside, 2WD
W66	Ford F-Series, F-650, Crew Cab, Pro Loader
F04	Ford F-Series, F-150, Regular Cab, Flareside, 4WD
T22	Ford Probe; GT
T21	Ford Probe; LX ('89-'93)
T20	Ford Probe; GL/SE
X26	Ford F-Series, F-250HD, Super Cab, 4WD
K38	Ford Edge; SEL, FWD
P12	Ford Mustang, Coupe; GLX ('82)
K39	Ford Edge; SEL Plus, FWD
F12	Ford F-Series, F-150, Regular Cab, 2WD
P11	Ford Escort, Coupe; ZX2 ('98-'03)
P14	Ford Escort, Hatchback, 5-door ('91-'96)
P13	Ford Mustang, Hatchback; GLX ('82)
P16	Ford Mustang, Hatchback; GL/GT ('82)
P90	Ford GT
P15	Ford Escort, Wagon ('91-'99)
V1	Mercury Villager
X20	Ford F-Series, F-250, Super Cab, 2WD
X21	Ford F-Series, F-250, Super Cab, 4WD
W75	Ford F-Series, F-750, Crew Cab, Straight Frame
W76	Ford F-Series, F-750, Crew Cab, Severe Service
F14	Ford F-Series, F-150, Regular Cab, 4WD
U9	Ford Escape/Ford Escape Hybrid
U6	Ford Excursion
P0L	Ford Fusion; Hybrid
U8	Ford Explorer/Mercury Mountaineer/Lincoln Aviator
U7	Ford Excursion
K36	Ford Edge; SE, FWD
P10	Ford Mustang, Coupe; L/GL ('82)
X57	Ford F-Series, F-550, Super Cab, 4WD
E	Ford E-Series, Lincoln Aviator
K49	Ford Edge; SEL Plus,
X56	Ford F-Series, F-550, Super Cab, 2WD
W47	Ford F-Series, F-450, Crew Cab, 4WD
K07	Ford Taurus X; Eddie Bauer Edition, FWD
K08	Ford Taurus X; Eddie Bauer Edition, AWD
K05	Ford Taurus X/Freestyle; SEL, AWD
W46	Ford F-Series, F-450, Crew Cab, 2WD
K06	Ford Taurus X/Freestyle; Limited, AWD
C	Ford E-Series Chassis
P62	Ford Thunderbird, LX V8 ('89-'97)
P64	Ford Thunderbird, Super Coupe ('89-'95)
P65	Ford Contour
P60	Ford Thunderbird; LX/V6 ('89-'97), All ('02-'05)
P67	Mercury Capri; RS, Turbo RS ('79-'86)
F66	Ford F-Series, F-650, Regular Cab, Pro Loader
P66	Ford Contour, Sport
S	Ford E-Series extended
P68	Mercury Capri, GS ('79-'86)
F65	Ford F-Series, F-650, Regular Cab, Straight Frame
K03	Ford Taurus X/Freestyle; Limited, FWD
M36	Mercury Topaz
K02	Ford Taurus X/Freestyle; SEL, FWD
K48	Ford Edge; SEL, AWD
K46	Ford Edge; SE, AWD
X46	Ford F-Series, F-450, Super Cab, 2WD
X47	Ford F-Series, F-450, Super Cab, 4WD
W56	Ford F-Series, F-550, Crew Cab, 2WD
W57	Ford F-Series, F-550, Crew Cab, 4WD
A20	Mercury Mountaineer
P5	Ford Taurus
P73	Ford Crown Victoria; Sport
P74	Ford Crown Victoria; LX & LX Sport
P71	Ford Crown Victoria; Police Interceptor
P72	Ford Crown Victoria; Standard
P70	Ford Crown Victoria; Long Wheelbase
F75	Ford F-Series, F-750, Regular Cab, Straight Frame
F76	Ford F-Series, F-750, Regular Cab, Severe Service
P4B	Ford Fiesta, Sedan, SE
A5	Ford Windstar
P4C	Ford Fiesta, Sedan, SEL
P4A	Ford Fiesta, Sedan, S
P46	Ford Mustang, Convertible; SVT Cobra ('99-'01)
P47	Ford Mustang, Coupe; SVT Cobra ('99-'01), SVT Cobra R ('00)
P44	Ford Mustang, Convertible; LX ('87-'93), V6 ('94-'04)
P45	Ford Mustang, Convertible; GT ('87-'04)
P48	Ford Mustang, Coupe; SVT Cobra ('03-'04)
P49	Ford Mustang, Convertible; SVT Cobra ('03-04)
X76	Ford F-Series, F-750, Super Cab, Severe Service
X75	Ford F-Series, F-750, Super Cab, Straight Frame
W20	Ford F-Series, F-250, Crew Cab, 2WD
R4	Ford Ranger
P42	Ford Mustang, Coupe; GT ('94-'04), Bullitt ('01), Mach 1 ('03-'04)
F47	Ford F-Series, F-450, Regular Cab, 4WD
P41	Ford Mustang, Hatchback; LX ('87-'93)
W21	Ford F-Series, F-250, Crew Cab, 4WD
F46	Ford F-Series, F-450, Regular Cab, 2WD
P40	Ford Mustang, Coupe; LX ('87-'93), V6 ('94-'04)
P55	Ford Taurus, SES
R1	Ford Ranger
R0	Ford Ranger
X65	Ford F-Series, F-650, Super Cab, Straight Frame
W33	Ford F-Series, F-350, Crew Cab, 4WD, Dual Rear Wheels
P52	Ford Taurus GL
W32	Ford F-Series, F-350, Crew Cab, 2WD, Dual Rear Wheels
F57	Ford F-Series, F-550, Regular Cab, 4WD
W31	Ford F-Series, F-350, Crew Cab, 4WD, Single Rear Wheels
P54	Ford Taurus, SHO
W30	Ford F-Series, F-350, Crew Cab, 2WD, Single Rear Wheels
P53	Ford Taurus, LX
W37	Ford F-Series, F-350, Crew Cab, 4WD, CA XL, Dual Rear Wheels
P4E	Ford Fiesta, Hatchback, SE
W36	Ford F-Series, F-350, Crew Cab, 2WD, CA XL, Dual Rear Wheels
F56	Ford F-Series, F-550, Regular Cab, 2WD
P4F	Ford Fiesta, Hatchback, SES
X66	Ford F-Series, F-650, Super Cab, Pro Loader
M81	Lincoln Town Car
X14	Ford F-Series, F-150, Super Cab, 4WD
U0	Ford Escape/Ford Escape Hybrid
M86	Lincoln LS
P28	Ford Mustang, Hatchback ('83-'86)
M85	Lincoln Town Car
X12	Ford F-Series, F-150, Super Cab, 2WD
M84	Lincoln Town Car
P26	Ford Mustang, Coupe ('83-'86)
M83	Lincoln Town Car
P27	Ford Mustang, Convertible ('83-'86)
U4	Ford Excursion
P24	Ford Taurus/Five Hundred; SEL, FWD ('07-up)
M89	Lincoln Town Car
P25	Ford Taurus/Five Hundred; Limited, FWD ('07-up)
U2	Lincoln Navigator
U1	Ford Expedition
M87	Lincoln LS
T6	Mercury Cougar
F25	Ford F-Series, F-250, Regular Cab, 2WD, Custom
W02	Ford F-Series, F-150, Crew Cab, Flareside, 2WD
W04	Ford F-Series, F-150, Crew Cab, Flareside, 4WD
F21	Ford F-Series, F-250, Regular Cab, 4WD
F20	Ford F-Series, F-250, Regular Cab, 2WD
T88	Ford Mustang, Coupe; Shelby GT500 ('07-up)
