jaguar	SAJ
audi	TRU
audi	WAU
mitsubishi	JMB
mitsubishi	6MM
ferrari	ZFF
fiat	8AP
kia	KN
toyota	2T
toyota	5T
toyota	JT
toyota	6T1
toyota	4T
delorean	SCE
vw	1VW
vw	AAV
vw	WVG
vw	9BW
vw	WVW
vw	3VW
gm	6G
gm	1G
gm	2G
gm	3G
chrysler	1C
honda	1H
honda	93H
honda	5F
honda	JH
honda	2H
chevrolet	1GC
chevrolet	6G1
chevrolet	2G1
subaru	JF
subaru	4S
mazda	1YV
mazda	4F
mazda	JMZ
tesla	5YJ
hyundai	KMH
hyundai	2HM
hyundai	TMA
hyundai	9BH
bmw	4US
bmw	WBS
bmw	WBA
ford	6F
ford	3F
ford	AFA
ford	1F
ford	2F
ford	WF0
nissan	3N
nissan	1N
nissan	JN
