AAV	Volkswagen
AFA	Ford
CL9	Wallyscar
JA	Isuzu
JF	Fuji Heavy Industries
JH	Honda
JMB	Mitsubishi
JMZ	Mazda
JN	Nissan
JS	Suzuki
JT	Toyota
KL	Daewoo
KMH	Hyundai
KN	Kia
KPT	SsangYong
SAJ	Jaguar
SAL	Land Rover
SAR	Rover
SCC	Lotus Cars
SCE	DeLorean
TMA	Hyundai
TMB	Škoda
TRU	Audi
UU	Dacia
VA0	ÖAF
VF1	Renault
VF3	Peugeot
VF6	Renault Trucks/Volvo
VF7	Citroën
VFE	IvecoBus
VSS	SEAT
VV9	Tauro Sport Auto
WAU	Audi
WAP	Alpina
WBA	BMW
WBS	BMW M
WDB	Mercedes-Benz
WDC	DaimlerChrysler AG/Daimler AG
WDD	DaimlerChrysler AG/Daimler AG
WMX	DaimlerChrysler AG/Daimler AG
WEB	EvoBus
WF0	Ford Germany
WJM	Iveco
WJR	Irmscher
WKK	Kässbohrer
WMA	MAN
WME	Smart
WMW	Mini
WP0	Porsche car
WP1	Porsche SUV
WUA	Quattro
WVG	Volkswagen
WVW	Volkswagen
WV1	Volkswagen Commercial Vehicles
WV2	Volkswagen Commercial Vehicles
W0L	Opel/Vauxhall
W0SV	Opel Special Vehicles
YK1	Saab
YS3	Saab
YTN	Saab NEVS
YV1	Volvo Cars
ZAM	Maserati
ZAR	Alfa Romeo
ZCF	Iveco
ZFA	Fiat Automobiles
ZFF	Ferrari
ZGA	IvecoBus
ZHW	Lamborghini
ZLA	Lancia
1C	Chrysler
1F	Ford
1G	General Motors
1G3	Oldsmobile
1GC	Chevrolet
1GM	Pontiac
1H	Honda
1J	Jeep
1L	Lincoln
1M	Mercury
1N	Nissan
1VW	Volkswagen
1YV	Mazda
2F	Ford
2G	General Motors
2G1	Chevrolet
2G2	Pontiac
2H	Honda
2HM	Hyundai
2M	Mercury
2T	Toyota
3F	Ford
3G	General Motors
3N	Nissan
3VW	Volkswagen
4F	Mazda
4J	Mercedes-Benz
4M	Mercury
4S	Subaru
4T	Toyota
4US	BMW
5F	Honda
5L	Lincoln
5T	Toyota
5YJ	Tesla
6F	Ford
6G	General Motors
6G1	Chevrolet
6G2	Pontiac
6H	Holden
6MM	Mitsubishi
6T1	Toyota
8AP	Fiat
8AT	Iveco
9BD	Fiat Automóveis
9BW	Volkswagen
93H	Honda
93W	Fiat Professional
93Z	Iveco
9BH	Hyundai
